title,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publisher,Bookauthor_no,Bookauthor_Main,Bookauthor_Co1,Bookauthor_Co2,Age_years,title_nwords
The Accidental Time Machine,3.7,eng,278,6572,660,Ace,1,Joe Haldeman,0,0,13,4
The Coming,3.09,eng,278,690,71,Ace,1,Joe Haldeman,0,0,19,2
Dragon's Treasure,3.54,eng,336,170,11,Ace,1,Elizabeth A. Lynn,0,0,15,2
The Moon in Hiding (The Green Lion Trilogy #2),4.0,eng,208,162,4,Ace,1,Teresa Edgerton,0,0,31,9
Ship of Fools,3.74,eng,370,2192,206,Ace,1,Richard Paul Russo,0,0,19,3
Furies of Calderon (Codex Alera  #1),4.12,eng,504,84357,3322,Ace,1,Jim Butcher,0,0,15,7
Betcha Can't Read Just One,3.92,eng,242,51,1,Ace,16,Alan Dean Foster,George Alec Effinger,Jack McDevitt,27,5
Interlopers,3.33,eng,313,269,23,Ace,1,Alan Dean Foster,0,0,19,1
Magic Bites (Kate Daniels  #1),4.07,eng,261,86675,5395,Ace,1,Ilona Andrews,0,0,13,6
Galactic Effectuator,3.69,eng,219,286,13,Ace,1,Jack Vance,0,0,39,2
The Green Pearl (Lyonesse  #2),4.16,eng,407,10,2,Ace,1,Jack Vance,0,0,33,6
The Outlaws of Sherwood,3.77,eng,368,9043,617,Ace,1,Robin McKinley,0,0,15,4
The Hero and the Crown (Damar  #2),4.21,eng,227,71,7,Ace,1,Robin McKinley,0,0,35,8
The Once and Future King (The Once and Future King  #1-4),4.07,eng,639,85082,2921,Ace,1,T.H. White,0,0,33,12
Starship Troopers,4.01,eng,335,164740,3962,Ace Book,1,Robert A. Heinlein,0,0,33,2
God Emperor of Dune (Dune Chronicles  #4),3.84,eng,423,2785,166,Ace Books,1,Frank Herbert,0,0,33,8
Chapterhouse: Dune (Dune Chronicles #6),3.91,eng,436,38778,568,Ace Books,1,Frank Herbert,0,0,33,5
Dune Messiah (Dune Chronicles #2),3.88,eng,331,97494,2359,Ace Books,1,Frank Herbert,0,0,33,5
Heretics of Dune (Dune Chronicles #5),3.86,eng,471,45388,644,Ace Books,1,Frank Herbert,0,0,33,6
The Other Wind (Earthsea Cycle  #6),4.12,eng,211,14393,635,Ace Books,2,Ursula K. Le Guin,Samuel Roukin,0,17,7
Unicorn Point (Apprentice Adept #6),3.8,eng,337,4820,27,Ace Books,1,Piers Anthony,0,0,30,5
Dayworld (Dayworld #1),3.64,eng,258,1315,68,Ace Books,1,Philip José Farmer,0,0,34,3
Accelerando,3.88,eng,415,16527,971,Ace Books,1,Charles Stross,0,0,14,1
Harrowing the Dragon,3.94,eng,308,1602,86,Ace Books,1,Patricia A. McKillip,0,0,14,3
Solstice Wood (Winter Rose  #2),3.76,eng,278,1715,141,Ace Books,1,Patricia A. McKillip,0,0,13,6
Od Magic,3.98,eng,315,3140,265,Ace Books,1,Patricia A. McKillip,0,0,14,2
Forever Peace (The Forever War  #2),3.74,eng,351,16338,422,Ace Books,1,Joe Haldeman,0,0,22,7
Elric of Melniboné (The Elric Saga  #1),3.89,eng,181,20559,682,Ace Books,1,Michael Moorcock,0,0,33,8
Masterpieces: The Best Science Fiction of the Twentieth Century,4.21,eng,422,1202,79,Ace Books,28,Orson Scott Card,Isaac Asimov,William Gibson,16,9
Madouc (Lyonesse  #3),4.15,eng,426,1825,71,Ace Books,1,Jack Vance,0,0,29,4
Cursor's Fury (Codex Alera  #3),4.36,eng,442,50427,1053,Ace Hardcover,1,Jim Butcher,0,0,14,6
Fantastic Alice,3.4,eng,291,147,14,Ace Trade,18,Margaret Weis,Esther M. Friesner,Roger Zelazny,25,2
Starship Troopers,4.01,eng,205,172,20,Ace/SFBC,1,Robert A. Heinlein,0,0,23,2
Black on Red: My 44 Years Inside the Soviet Union: An Autobiography,4.33,eng,436,80,14,Acropolis Books (NY),2,Robert Robinson,Jonathan Slevin,0,32,12
Americana,3.43,eng,454,3683,238,Actes Sud,1,Don DeLillo,0,0,27,1
Rob Roy,3.7,eng,537,4,0,Adamant Media Corporation,1,Walter Scott,0,0,20,2
Sun Tzu: The Art of War for Managers; 50 Strategic Rules,3.8,eng,224,316,12,Adams Media,2,Sun Tzu,Gerald A. Michaelson,0,19,11
Absolute C++,3.83,eng,943,36,4,Addison Wesley,1,Walter J. Savitch,0,0,13,2
The Firm,4.01,eng,76,540910,3378,Addison Wesley Publishing Company,2,Robin Waterfield,John Grisham,0,20,2
The Design and Implementation of the 4.3BSD UNIX Operating System,4.26,eng,471,27,2,Addison Wesley Publishing Company,3,Samuel J. Leffler,Marshall Kirk McKusick,Michael J. Karels,31,10
The Feynman Lectures on Physics Vol 3,4.63,eng,384,716,15,Addison Wesley Publishing Company,3,Richard P. Feynman,Robert B. Leighton,Matthew L. Sands,15,7
Data Structures and Algorithm Analysis in C++,3.87,eng,586,155,8,Addison Wesley Publishing Company,1,Mark Allen Weiss,0,0,14,7
The Pragmatic Programmer: From Journeyman to Master,4.31,eng,321,12563,699,Addison-Wesley Professional,2,Andy Hunt,Dave Thomas,0,21,7
The Mythical Man-Month: Essays on Software Engineering,4.05,eng,322,9395,616,Addison-Wesley Professional,1,Frederick P. Brooks Jr.,0,0,25,7
Refactoring: Improving the Design of Existing Code,4.24,eng,431,6086,222,Addison-Wesley Professional,4,Martin Fowler,Kent Beck,Don Roberts,21,7
Cromartie High School  Vol. 06,4.21,eng,176,61,4,ADV Manga,2,Eiji Nonaka,Brendan Frayne,0,14,6
Cromartie High School  Vol. 05,4.28,eng,168,63,2,ADV Manga,2,Eiji Nonaka,Brendan Frayne,0,14,6
Cromartie High School  Vol. 01,4.0,eng,158,393,41,ADV Manga,2,Eiji Nonaka,Brendan Frayne,0,15,6
Cromartie High School  Vol. 02,4.19,eng,161,134,9,ADV Manga,2,Eiji Nonaka,Brendan Frayne,0,15,6
Prétear  Vol. 4 (Prétear  #4),3.96,eng,180,294,14,ADV Manga,2,Junichi Satō,Kaori Naruse,0,15,7
Prétear  Vol. 3 (Prétear  #3),3.95,eng,172,326,10,ADV Manga,2,Junichi Satō,Kaori Naruse,0,16,7
Prétear  Vol. 2 (Prétear  #2),4.0,eng,182,347,17,ADV Manga,2,Junichi Satō,Kaori Naruse,0,16,7
Gunslinger Girl  Vol. 1,3.87,eng,175,911,42,ADV Manga,2,Yu Aida,Hiroshi Aida,0,17,5
Your and My Secret  Vol. 1,3.54,eng,174,406,31,ADV Manga,1,Ai Morinaga,0,0,16,7
Azumanga Daioh  Vol. 3 (Azumanga Daioh  #3),4.38,eng,166,2144,19,ADV Manga,2,Kiyohiko Azuma,あずま きよひこ,0,16,9
Zero Debt: The Ultimate Guide to Financial Freedom,3.74,eng,204,49,10,Advantage World Press,1,Lynnette Khalfani,0,0,16,8
Tesla Papers,4.13,eng,100,102,2,Adventures Unlimited Press,2,Nikola Tesla,David Hatcher Childress,0,20,2
From the Earth to the Moon (Extraordinary Voyages  #4),3.78,eng,136,17325,421,Aegypan,1,Jules Verne,0,0,14,10
The Invisible Man,3.64,eng,178,313,39,Aerie,1,H.G. Wells,0,0,28,3
A Framework for Understanding Poverty,3.9,eng,199,3690,518,AHA! Process,1,Ruby K. Payne,0,0,14,5
Proof of Concept,3.0,eng,134,6,1,AIT Planet Lar,3,Larry Young,Damian Couceiro,Kieron Dwyer,15,3
Youth in Revolt: The Journals of Nick Twisp : Volumes I  II  III/Youth in Revolt/Youth in Bondage/Youth in Exile,4.04,eng,503,29,6,Aivia Press,1,C.D. Payne,0,0,27,21
On Anarchism,3.93,eng,256,4145,192,AK Press,2,Noam Chomsky,Barry Pateman,0,15,2
Hairstyles of the Damned,3.72,eng,270,5298,468,Akashic Books/Punk Planet Books,1,Joe Meno,0,0,16,4
Robinson Crusoe,3.67,eng,482,204,32,Aladdin,2,Daniel Defoe,Avi,0,19,2
Five Little Peppers and How They Grew (Five Little Peppers  #1),4.03,eng,352,22023,395,Aladdin,1,Margaret Sidney,0,0,14,12
The Moon Lady,3.97,eng,32,1388,64,Aladdin,2,Amy Tan,Gretchen Schields,0,25,3
The Wizard's Apprentice (The Keepers  #2),3.8,eng,175,353,20,Aladdin,2,Jackie French Koller,Rebecca Guay,0,17,7
Misty of Chincoteague (Misty  #1),4.05,eng,176,38024,907,Aladdin,2,Marguerite Henry,Wesley Dennis,0,14,6
The Children's Homer: The Adventures of Odysseus and the Tale of Troy,3.9,eng,256,109,15,Aladdin,2,Padraic Colum,Willy Pogány,0,16,12
The Trumpeter of Krakow,3.76,eng,224,54,13,Aladdin,2,Eric P. Kelly,Janina Domanska,0,21,4
Dragonsinger (Harper Hall  #2),4.28,eng,288,34996,586,Aladdin,1,Anne McCaffrey,0,0,17,5
Nancy Drew: Girl Detective: #1-4,4.02,eng,640,2167,30,Aladdin,1,Carolyn Keene,0,0,16,5
The Fourth of July Story,4.03,eng,32,261,19,Aladdin,2,Alice Dalgliesh,Marie Nonnast,0,25,5
Ghost Stories (Nancy Drew),3.75,eng,160,337,12,Aladdin,1,Carolyn Keene,0,0,31,4
The Bears on Hemlock Mountain,3.79,eng,58,2164,147,Aladdin,2,Alice Dalgliesh,Helen Sewell,0,28,5
The Call of the Wild,3.86,eng,128,188,16,Aladdin,2,Jack London,Wendell Minor,0,21,5
The Call of the Wild,3.86,eng,139,2210,157,Aladdin,2,Jack London,Gary Paulsen,0,17,5
Beatrice's Goat,4.25,eng,40,546,113,Aladdin,3,Page McBrier,Lori Lohstoeter,Hillary Rodham Clinton,16,2
Hitty  Her First Hundred Years,3.86,eng,256,7097,292,Aladdin,2,Rachel Field,Dorothy P. Lathrop,0,22,6
Seaward,3.97,eng,167,1756,72,Aladdin Paperbacks,1,Susan Cooper,0,0,33,1
The Boggart,3.75,eng,196,4085,181,Aladdin Paperbacks,2,Susan Cooper,Omar Rayyan,0,15,2
Dicey's Song (Tillerman Cycle  #2),3.96,eng,359,16021,594,Aladdin Paperbacks,1,Cynthia Voigt,0,0,17,6
Tehanu (Earthsea Cycle  #4),3.94,eng,281,1269,93,Aladdin Paperbacks,1,Ursula K. Le Guin,0,0,19,5
Lotta on Troublemaker Street,3.98,eng,55,1429,24,Aladdin Paperbacks,2,Astrid Lindgren,Robin Preiss Glasser,0,19,4
Jennifer  Hecate  Macbeth  William McKinley  and Me  Elizabeth,3.79,eng,128,54,11,Aladdin Paperbacks,1,E.L. Konigsburg,0,0,13,13
Dragonsong (Harper Hall  #1),4.24,eng,192,40324,1001,Aladdin Paperbacks,1,Anne McCaffrey,0,0,14,5
Star Bright (Star Power  #8),3.67,eng,160,3,0,Aladdin Paperbacks,1,Catherine Hapka,0,0,15,6
Sagwa  the Chinese Siamese Cat,4.03,eng,40,995,57,Aladdin Paperbacks,2,Amy Tan,Gretchen Schields,0,19,6
Voting Rights Days (Hitty's Travels  #3),4.27,eng,75,10,2,Aladdin Paperbacks,2,Ellen Weiss,Betina Ogden,0,18,7
The Sea Wolf,4.04,eng,425,19091,851,Alan Rodgers Books,1,Jack London,0,0,15,3
When I Feel Angry,3.98,eng,24,113,4,Albert Whitman  Company,2,Nancy Cote,Cornelia Maude Spelman,0,20,4
The Midnight Mystery (The Boxcar Children  #95),3.9,eng,128,312,9,Albert Whitman  Company,1,Gertrude Chandler Warner,0,0,17,8
Jesus Freaks: Stories of Those Who Stood for Jesus  the Ultimate Jesus Freaks (Jesus Freaks  #1),4.21,eng,383,19217,271,Albury Publishing,2,D.C. Talk,The Voice of the Martyrs,0,21,18
Alcoholics Anonymous,4.45,eng,250,22,0,Alcoholics Anonymous World Services Inc,1,Alcoholics Anonymous,0,0,27,2
Legend of the Five Rings RPG,3.78,eng,318,169,6,Alderac Entertainment Group,8,Rich Wulf,Shawn Carman,Seth Mason,15,6
Secrets of the Scorpion,3.68,eng,96,44,0,Alderac Entertainment Group (AEG),10,Jed Carleton,Shawn Carman,Seth Mason,17,4
Digging to America,3.55,eng,277,17155,1841,Alfred A. Knopf,1,Anne Tyler,0,0,14,3
The Sea,3.51,eng,195,586,103,Alfred A. Knopf,1,John Banville,0,0,15,2
The Road,3.97,eng,241,606433,34301,Alfred A. Knopf,1,Cormac McCarthy,0,0,14,2
Collected Stories,4.39,eng,850,346,43,Alfred A. Knopf,2,Roald Dahl,Jeremy Treglown,0,14,2
James and the Giant Peach,4.01,eng,146,328542,4733,Alfred A. Knopf,2,Roald Dahl,Quentin Blake,0,18,5
The View from Castle Rock,3.68,eng,349,3459,423,Alfred A. Knopf,1,Alice Munro,0,0,14,5
Blind Willow  Sleeping Woman,3.84,eng,333,22847,1280,Alfred A. Knopf,3,Haruki Murakami,Philip Gabriel,Jay Rubin,14,5
Jazz,3.81,eng,229,428,54,Alfred A. Knopf,1,Toni Morrison,0,0,28,1
Looking for the Light: The Hidden Life and Art of Marion Post Wolcott,4.07,eng,297,14,3,Alfred A. Knopf,2,Paul Hendrickson,Marion Post Wolcott,0,28,13
Frost,3.88,eng,342,731,69,Alfred A. Knopf,2,Thomas Bernhard,Michael Hofmann,0,14,1
The Lay of the Land,3.9,eng,485,3255,353,Alfred A. Knopf,1,Richard Ford,0,0,14,5
Nature Girl,3.63,eng,306,19245,1533,Alfred A. Knopf,1,Carl Hiaasen,0,0,14,2
Wildwood Dancing (Wildwood  #1),4.09,eng,407,24751,2219,Alfred A. Knopf,1,Juliet Marillier,0,0,13,5
Runaway,3.98,eng,335,633,115,Alfred A. Knopf,1,Alice Munro,0,0,16,1
A Madman Dreams of Turing Machines,3.68,eng,230,1136,180,Alfred A. Knopf,1,Janna Levin,0,0,14,6
House of Meetings,3.41,eng,241,1917,206,Alfred A. Knopf,1,Martin Amis,0,0,13,3
The Book Thief,4.37,eng,552,1516367,86881,Alfred A. Knopf,2,Markus Zusak,Cao Xuân Việt Khương,0,14,3
Binary,3.53,eng,213,94,10,Alfred A. Knopf,1,John Lange,0,0,48,1
Are We There Yet?,3.49,eng,215,3089,281,Alfred A. Knopf,1,David Levithan,0,0,15,4
Boy Meets Boy,3.84,eng,185,59799,3373,Alfred A. Knopf,1,David Levithan,0,0,15,3
Boeing Versus Airbus: The Inside Story of the Greatest International Competition in Business,3.63,eng,254,247,28,Alfred A. Knopf,1,John Newhouse,0,0,13,13
Theft: A Love Story,3.43,eng,269,2561,277,Alfred A. Knopf,1,Peter Carey,0,0,14,4
The Devil's Feather,3.63,eng,349,2343,153,Alfred A. Knopf,1,Minette Walters,0,0,14,3
The Wind-Up Bird Chronicle,4.17,eng,611,301,67,Alfred A. Knopf,2,Haruki Murakami,Jay Rubin,0,23,4
After the Quake,3.78,eng,182,564,84,Alfred A. Knopf,2,Haruki Murakami,Jay Rubin,0,18,3
Sputnik Sweetheart,3.83,eng,210,582,92,Alfred A. Knopf,2,Haruki Murakami,Philip Gabriel,0,19,2
His Dark Materials (His Dark Materials  #1-3),4.26,eng,933,2656,260,Alfred A. Knopf,1,Philip Pullman,0,0,13,8
Gargantua and Pantagruel,3.71,eng,807,51,11,Alfred A. Knopf  Inc.,3,François Rabelais,Thomas Urquhart,Pierre Le Motteux,26,3
Wild About Books,4.17,eng,40,4541,378,Alfred A. Knopf Books for Young Readers,2,Judy Sierra,Marc Brown,0,16,3
Flush,3.88,eng,263,23811,2348,Alfred A. Knopf Books for Young Readers,1,Carl Hiaasen,0,0,15,1
Nick & Norah's Infinite Playlist,3.71,eng,183,65091,2971,Alfred A. Knopf Books for Young Readers,2,Rachel Cohn,David Levithan,0,14,5
The Subtle Knife (His Dark Materials  #2),4.13,eng,326,677,77,Alfred A. Knopf Books for Young Readers,2,Philip Pullman,Ian Beck,0,13,8
I Am the Messenger,4.07,eng,357,110898,11457,Alfred A. Knopf Borzoi Books,2,Markus Zusak,Emmanuel Pailler,0,14,4
A Tear and a Smile,4.03,eng,228,2094,104,Alfred A.Knopf,4,Kahlil Gibran,جبران خليل جبران,H.M. Nahmad,70,5
Hemingway & Bailey's Bartending Guide to Great American Writers,3.9,eng,97,132,24,Algonquin Books,2,Mark Bailey,Edward Hemingway,0,14,9
The History of England,3.89,eng,60,991,88,Algonquin Books,4,Jane Austen,Cassandra Austen,Deirdre Le Faye,27,4
Last Bite,3.42,eng,308,372,66,Algonquin Books,1,Nancy Verde Barr,0,0,14,2
Enslaved,3.44,eng,308,2263,448,Algonquin Books,1,Bob Tarte,0,0,16,1
Water for Elephants,4.09,eng,335,1260027,52759,Algonquin Books,1,Sara Gruen,0,0,13,3
The Tenth Circle,3.5,eng,416,108646,5039,Allen & Ulwin,1,Jodi Picoult,0,0,14,3
Argumentative Indian: Writings On Indian History Culture And Identity,3.8,eng,391,29,7,Allen Lane,1,Amartya Sen,0,0,15,9
Beauty and the Contemporary Sublime,3.56,eng,180,39,5,Allworth,1,Jeremy Gilbert-Rolfe,0,0,21,5
The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting,3.65,eng,160,5,1,Allyn & Bacon,1,Robert Benedetti,0,0,15,13
Complete Idiot's Guide to The Beatles,3.73,eng,384,15,2,Alpha,2,Richard Buskin,Allan Kozinn,0,23,6
The Complete Idiot's Guide to Business Plans,3.32,eng,314,16,4,Alpha Books,1,Gwen Moran,0,0,15,7
Hood,3.59,eng,309,1895,170,Alyson Books,1,Emma Donoghue,0,0,22,1
Stir-Fry,3.59,eng,240,1565,97,Alyson Books,1,Emma Donoghue,0,0,14,1
The John Adams Reader: Eseential Writings on an American Composer,3.5,eng,455,20,5,Amadeus,2,Thomas May,John   Adams,0,14,10
The Epic of Gilgamesh,3.68,eng,127,39,6,Amereon Limited,2,Anonymous,N.K. Sandars,0,44,4
The Great Gats,3.91,eng,182,149,7,Amereon Ltd,1,F. Scott Fitzgerald,0,0,95,3
Diabetes Meal Planning Made Easy,3.42,eng,301,33,4,American Diabetes Association,2,Hope S. Warshaw,Warshaw Hope,0,14,5
Homeless (Wild at Heart  #2),4.06,eng,126,415,32,American Girl Publishing Inc,2,Laurie Halse Anderson,Mark Salisbury,0,20,6
The Feelings Book: The Care & Keeping of Your Emotions,4.16,eng,104,782,51,American Girl Publishing Inc,3,Lynda Madison,Bonnie Timmons,Norm Bendell,18,10
The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings,4.35,eng,312,193,7,America's Test Kitchen,1,America's Test Kitchen,0,0,14,17
Cook's Illustrated 2005 (Cook's Illustrated Annuals),4.57,eng,206,37,1,America's Test Kitchen,1,Cook's Illustrated Magazine,0,0,15,6
Posing for Portrait Photography: A Head-To-Toe Guide,3.38,eng,124,51,0,Amherst Media,1,Jeff   Smith,0,0,16,7
Portrait Photographer's Handbook,3.62,eng,128,16,1,Amherst Media  Inc.,1,Bill Hurter,0,0,16,3
The Known World,3.83,eng,388,29686,2626,Amistad,1,Edward P. Jones,0,0,14,3
sex.lies.murder.fame.,3.79,eng,368,205,27,Amistad,1,Lolita Files,0,0,14,1
The White Masai,3.45,eng,320,4504,491,Amistad,2,Corinne Hofmann,Peter Millar,0,14,3
The Pursuit of Happyness,4.19,eng,320,21292,756,Amistad,1,Chris Gardner,0,0,14,4
Their Eyes Were Watching God,3.91,eng,219,220309,9536,Amistad,1,Zora Neale Hurston,0,0,14,5
Jonah's Gourd Vine,3.99,eng,229,1679,82,Amistad,1,Zora Neale Hurston,0,0,30,3
The Complete Stories,4.25,eng,336,756,45,Amistad,3,Zora Neale Hurston,Henry Louis Gates Jr.,Sieglinde Lemke,24,3
Every Tongue Got to Confess: Negro Folk-tales from the Gulf States,3.97,eng,320,317,47,Amistad,3,Zora Neale Hurston,Carla Kaplan,John Edgar Wideman,18,11
Monster,3.72,eng,281,56171,5341,Amistad,1,Walter Dean Myers,0,0,1,1
Lost in the City,4.03,eng,268,2228,241,Amistad Press,1,Edward P. Jones,0,0,16,4
The Leadership Challenge: Skills for Taking Charge,0.0,eng,60,0,0,AMR/Advanced Management Reports,1,Warren G. Bennis,0,0,35,7
The Da Vinci Code (Robert Langdon  #2),3.84,eng,489,1679706,35877,Anchor,1,Dan Brown,0,0,14,8
Stranger than Fiction,3.57,eng,233,18210,629,Anchor,1,Chuck Palahniuk,0,0,15,3
The Da Vinci Code,3.84,eng,489,13934,1459,Anchor,1,Dan Brown,0,0,14,4
Saturday,3.63,eng,289,52576,3332,Anchor,1,Ian McEwan,0,0,14,1
Children of the Alley,4.1,eng,464,1192,131,Anchor,2,Naguib Mahfouz,Peter Theroux,0,24,4
Akhenaten: Dweller in Truth,3.81,eng,168,1282,139,Anchor,2,Naguib Mahfouz,Tagreid Abu-Hassabo,0,20,4
The Day the Leader Was Killed,3.63,eng,112,809,93,Anchor,3,Naguib Mahfouz,Surgana,Naguib Mahfouz,20,6
Child of War  Woman of Peace,3.8,eng,388,186,22,Anchor,3,Le Ly Hayslip,James Hayslip,Jenny Wurts,27,7
Providence of a Sparrow: Lessons from a Life Gone to the Birds,4.33,eng,304,228,44,Anchor,1,Chris Chester,0,0,16,12
The Child in Time,3.58,eng,263,8285,543,Anchor,1,Ian McEwan,0,0,21,4
Black Dogs,3.44,eng,149,7938,490,Anchor,1,Ian McEwan,0,0,22,2
The Comfort of Strangers,3.41,eng,128,11116,836,Anchor,1,Ian McEwan,0,0,26,4
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),4.08,eng,256,1070,73,Anchor,1,Alexander McCall Smith,0,0,14,13
The Girl in the Flammable Skirt,3.88,eng,192,6591,661,Anchor,1,Aimee Bender,0,0,21,6
Traveling Mercies: Some Thoughts on Faith,4.16,eng,275,39822,2297,Anchor,1,Anne Lamott,0,0,20,6
My Name Is Asher Lev,4.21,eng,369,32785,2398,Anchor,1,Chaim Potok,0,0,17,5
The Unabridged Journals of Sylvia Plath,4.31,eng,732,14009,483,Anchor,2,Sylvia Plath,Karen V. Kukil,0,20,6
The Journals of Sylvia Plath,4.17,eng,384,1163,64,Anchor,3,Sylvia Plath,Ted Hughes,Frances McCullough,22,5
72 Hour Hold,3.81,eng,336,1746,184,Anchor,1,Bebe Moore Campbell,0,0,14,3
Operating Instructions: A Journal of My Son's First Year,4.19,eng,251,21507,1664,Anchor,1,Anne Lamott,0,0,15,9
English Passengers,4.06,eng,446,4863,409,Anchor,1,Matthew Kneale,0,0,19,2
The Greenlanders,3.9,eng,608,2013,311,Anchor,1,Jane Smiley,0,0,15,2
The Sunday Philosophy Club (Isabel Dalhousie  #1),3.36,eng,272,16314,1764,Anchor,1,Alexander McCall Smith,0,0,15,8
The Finer Points of Sausage Dogs (Portuguese Irregular Verbs  #2),3.69,eng,128,4833,479,Anchor,1,Alexander McCall Smith,0,0,16,11
Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer  Adviser to Kings  Ally of Lawrence of Arabia,3.92,eng,464,2944,499,Anchor,1,Janet Wallach,0,0,15,19
Ella Minnow Pea: A Novel in Letters,3.85,eng,208,23926,4356,Anchor,1,Mark Dunn,0,0,18,7
John Henry Days,3.65,eng,400,1940,186,Anchor,1,Colson Whitehead,0,0,18,3
Marie Antoinette: The Journey,3.93,eng,512,1102,154,Anchor,1,Antonia Fraser,0,0,18,4
